ad
"Command Large Replacement Strips, Re-Hang Indoor Hooks (GP023-20NA)"
"Command 12 lb Picture Hanging Strips, 16 pairs (36 strips), Indoor Use (PH204-16NA)"
Cricut StandardGrip Cutting 12x12 3 Pack
"Pacon 9 x 12, 6555 Rainbow Super Value Construction Paper Ream, Assorted"
"Scotch Thermal Laminating Pouches, 8.9 x 11.4-Inches, 5 mil thick, 100-Pack (TP5854-100),Clear"
"Darice 100-Piece Premium Quality Tissue Gift Wrapping Paper Crafts, Packing and More, 20 x 26 inches (100 Sheets), Assorted Colors"
"EricX Light 100 Piece Natural Candle Wick, Low Smoke 6"" Pre-Waxed & 100% Natural Cotton Core,for Candle Making,Candle DIY"
"Westcott 8"" Titanium Bonded Scissors, 2 Scissors"
"Command Damage Free Picture and Frame Hanging, Large Strips (30 Pairs)"
Bostitch EZ Squeeze  40 Sheet 3-Hole Punch (HP40)
"Pink Kraft Butcher Paper Roll - 18 Inch x 175 Feet (2100 Inch) - Food Grade FDA Approved – Peach Wrapping Paper for Smoking Meat of All Varieties – Made in USA – Unbleached, Unwaxed and Uncoated"
"3 Pack PTFE Teflon Sheet for Heat Press Transfer Sheet Non Stick 16 x 20"" Heat Transfer Paper Reusable Heat Resistant Craft Mat"
"Command Picture & Frame Hanging Strips Value Pack, Large, White, 12-Pairs"
"YRYM HT Clear Vinyl Transfer Paper Tape Roll-12 x 50 FT w/Alignment Grid Application Tape for Silhouette Cameo, Cricut Adhesive Vinyl for Decals,Signs, Windows, Stickers"
"AmazonBasics Clear Thermal Laminating Plastic Paper Laminator Sheets - 8.9 Inch x 11.4 Inch, 200-Pack"
"Fiskars 01-004761J Softgrip Scissors Straight Stainless Steel, 8 Inch"
"Swingline Desktop Hole Punch, Hole Puncher, Precision Pro, Adjustable, 2 to 3 Holes, 10 Sheet Punch Capacity, Black/Silver (74037)"
"PaperPro inPRESS 20 Reduced Effort Three-Hole Punch, Silver, Black (2220)"
Origami Paper Double Sided Color - 200 Sheets - 20 Colors - 6 Inch Square Easy Fold Paper for Beginner
"AdTech Mini Hi-Temp Hot Glue Gun Combo Pack, White"
"Adtech 05603 Glue Runner Permanent 35Yds Total (4 pack Each), 0.31 x 315, Multicolor"
"Command Picture & Frame Hanging Strips, Large (24 Pair)"
"Avery Self-Adhesive Laminating Sheets, 9"" x 12"", Permanent Adhesive, 50 Clear Laminating Sheets (73601)"
